Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
Gem of Brightness,Slotless,"This crystal appears to be a long, rough prism. Upon utterance of a command word, though, the gem's facets suddenly grow highly polished as the crystal emits bright light of one of three sorts. [  ** One command word causes the gem to shed light as a hooded lantern. This use of the gem does not expend any charges, and it continues to emit light until this command word is spoken a second time to extinguish the illumination. ** Another command word causes the gem of brightness to send out a bright ray 1 foot in diameter and 50 feet long. This strikes as a ranged touch attack, and any creature struck by this beam is blinded for 1d4 rounds unless it makes a DC 14 Fortitude save. This use of the gem expends 1 charge. ** The third command word causes the gem to flare in a blinding flash of light that fills a 30-foot cone. Although this glare lasts but a moment, any creature within the cone must make a DC 14 Fortitude save or be blinded for 1d4 rounds. This use expends 5 charges.  ] A newly created gem of brightness has 50 charges. When all its charges are expended, the gem becomes nonmagical and its facets grow cloudy with a fine network of cracks.",No,"13,000 ","6,500 ",-,6,0,Moderate,Evocation,Craft Wondrous Item,Daylight,-,16,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-of-brightness,
Gem of Seeing,Slotless,"This finely cut and polished stone is indistinguishable from an ordinary jewel in appearance. When it is gazed through, a gem of seeing enables the user to see as though she were affected by the true seeing spell. A gem of seeing can be used for as many as 30 minutes a day, in increments of 5 minutes. These increments do not need to be consecutive.",No,"75,000 ","37,500 ",-,10,0,Moderate,Divination,Craft Wondrous Item,True Seeing,-,20,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-of-seeing,
"Gem, Elemental",Slotless,"An elemental gem comes in one of four different varieties. Each contains a conjuration spell attuned to a specific elemental plane (Air, Earth, Fire, or Water). When the gem is crushed, smashed, or broken (a standard action), a Large elemental appears as if summoned by a summon nature's ally spell. The elemental is under the control of the creature that broke the gem. The coloration of the gem varies with the type of elemental it summons. Air elemental gems are transparent, earth elemental gems are light brown, fire elemental gems are reddish orange, and water elemental gems are blue-green.",No,"2,250 ","1,125 ",-,11,0,Moderate,Conjuration,Craft Wondrous Item,Summon Monster V | Summon Nature's Ally V,-,21,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-elemental,
"Gem, Kitsune Star (1st)",Slotless,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as a pearl of power, except it only allows a kitsune to recover a spent use of a 1st level spell-like ability.",No,750 ,375 ,"Gem, Kitsune Star (2nd)",1,0,Faint,Transmutation,Craft Wondrous Item,-,(Race) Kitsune,11,1,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/kitsune-star-gem,
"Gem, Kitsune Star (2nd)",Slotless,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as a pearl of power, except it only allows a kitsune to recover a spent use of a 2nd level spell-like ability.",No,"3,000 ","1,500 ","Gem, Kitsune Star (3rd)",3,0,Faint,Transmutation,Craft Wondrous Item,-,(Race) Kitsune,13,1,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/kitsune-star-gem,
"Gem, Kitsune Star (3rd)",Slotless,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as a pearl of power, except it only allows a kitsune to recover a spent use of a 3rd level spell-like ability.",No,"6,750 ","3,375 ",-,5,0,Faint,Transmutation,Craft Wondrous Item,-,(Race) Kitsune,15,1,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/kitsune-star-gem,
"Gem, Metamagic (Empowering Topaz)",Slotless,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question. When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast. Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a full-round action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action). The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created—their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.",No,"2,000 ","1,000 ",-,11,0,Strong,-,Craft Wondrous Item,-,(Feat) Empower Spell,21,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-metamagic,
"Gem, Metamagic (Enlarging Amethyst)",Slotless,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question. When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast. Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a full-round action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action). The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created—their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.",No,"1,000 ",500 ,-,11,0,Strong,-,Craft Wondrous Item,-,(Feat) Enlarge Spell,21,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-metamagic,
"Gem, Metamagic (Extending Garnet)",Slotless,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question. When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast. Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a full-round action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action). The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created—their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.",No,"1,000 ",500 ,-,11,0,Strong,-,Craft Wondrous Item,-,(Feat) Extend Spell,21,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-metamagic,
"Gem, Metamagic (Maximizing Sapphire)",Slotless,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question. When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast. Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a full-round action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action). The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created—their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.",No,"4,000 ","2,000 ",-,11,0,Strong,-,Craft Wondrous Item,-,(Feat) Maximize Spell,21,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-metamagic,
"Gem, Metamagic (Quickening Diamond)",Slotless,"Metamagic gems can be used to enhance spells with various metamagic effects, similar to the way metamagic rods are used, save that metamagic gems are consumed when they are used. To apply the effects of a metamagic gem to a spell, you need only use the metamagic gem as an additional material component for the spell in question. When you apply a metamagic effect to a spell using a metamagic gem, the spell slot of the altered spell does not change. You may only use one metamagic gem on any given spell, and while that spell cannot be further enhanced by a metamagic rod, it can be used with spells already enhanced in the normal way via any metamagic feats you possess. In this case, only the feats possessed by you adjust the spell slot of the spell being cast. Use of a metamagic gem does not confer the associated feat on the owner, only the one-time ability to use the given feat. A sorcerer or other spontaneous spellcaster must still take a full-round action when using a metamagic gem, just as if using a metamagic feat he possesses (except for quickening diamonds, which can be used as a swift action). The metamagic gems presented here are not the only such gems that exist. Other metamagic gems based on metamagic feats from other sources could easily be created—their costs should follow the pattern presented here (1,000 gp for gems that alter a spell slot by 1 level, 2,000 gp for those that alter spell slots by 2 levels, and so on), and each new gem should have a corresponding unique gemstone type associated with it.",No,"8,000 ","4,000 ",-,11,0,Strong,-,Craft Wondrous Item,-,(Feat) Quicken Spell,21,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gem-metamagic,
